Identifiant PRM;Date de début;Date de fin;Grandeur physique;Grandeur métier;Etape métier;Unité;Horodate;Valeur;Nature;Pas;Indice de vraisemblance;Etat complémentaire
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 11:00:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 11:30:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 12:00:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 12:30:00;120;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 13:00:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 13:30:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 14:00:00;120;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 14:30:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 15:00:00;120;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 15:30:00;124;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 16:00:00;120;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 16:30:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 17:00:00;124;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 17:30:00;124;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 18:00:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 18:30:00;932;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 19:00:00;17148;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 19:30:00;17234;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 20:00:00;17270;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 20:30:00;17320;B;PT30M;0;0
